"web_scraper_order","web_scraper_start_url","price","name","brand","data","data2","data3","image","Brand","Ref","Sex","Movement","Case diametr, mm","Case material","Strap","Complications","Condition report","Waterproof","Caliber","SKU","Case shape","Insert"
"1773071530-55","https://watchlab.ae/catalog/watch/","Our price:                                                                        40 000 AED","Cartier Panthere de Cartier Medium Custom Diamonds","Cartier","","","","","Cartier","WSPN0007/ WSPN0015 FIX","Female","Quartz","26","Steel, Diamonds","Bracelet","Quartz","Brand new","30 m","","468","",""
"1773071530-56","https://watchlab.ae/catalog/watch/","Our price:                                                                        PRICE ON REQUEST","Bvlgari Serpenti Seduttori Rose Gold Silver Dial","Bvlgari","","","","","Bvlgari","103145","Female","Quartz","33","Rose gold","Bracelet","Quartz","Brand new","30 m","","16244","",""
"1773071530-57","https://watchlab.ae/catalog/watch/","Our price:                                                                        PRICE ON REQUEST","Rolex Datejust 31mm Steel & White gold Blue Dial Diamond bezel Jubilee Bracelet","Rolex","","","","","Rolex","278344rbr","Female","Automatic","31","Steel, White gold, Diamonds","Bracelet","Mechanical self-winding, Date","Brand new","100 m","Caliber Rolex 2236","15861","",""
"1773071530-58","https://watchlab.ae/catalog/watch/","Our price:                                                                        PRICE ON REQUEST","Rolex Datejust 31mm Steel & White gold Black Roman Dial Oyster Bracelet","Rolex","","","","","Rolex","278274","Female","Automatic","31","Steel, White gold, Diamonds","Bracelet","Mechanical self-winding, Date","Brand new","100 m","Rolex 2236","16449","",""
"1773071530-59","https://watchlab.ae/catalog/watch/","Our price:                                                                        PRICE ON REQUEST","Harry Winston EMERALD 18KT WHITE GOLD LADIES WATCH","Harry Winston","","","","","Harry Winston","EMEQHM18WW002","","Quartz","24","White gold, Diamonds","","Quartz","Brand new
103 brilliant-cut diamonds (approx. 0.57 carat)","30m","HW1040","3573","",""
"1773071530-60","https://watchlab.ae/catalog/watch/","Our price:                                                                        PRICE ON REQUEST","Rolex Day Date 40 Rose Gold Chocolate Brown Dial","Rolex","","","","","Rolex","228235","Unisex","Automatic","40","Rose gold","Bracelet","Mechanical self-winding, Day of the week, Date","Brand new","100 m","3255","2102","",""
"1773071530-61","https://watchlab.ae/catalog/watch/","Our price:                                                                        PRICE ON REQUEST","Rolex Lady-Datejust 28mm Steel & Rose Gold White Roman Dial Jubilee Bracelet","Rolex","","","","","Rolex","279171","Female","Automatic","28","Steel, Rose gold","Bracelet","Mechanical self-winding, Date","Brand new","100 m","Rolex 2236","8441","",""
"1773071530-62","https://watchlab.ae/catalog/watch/","Our price:                                                                        PRICE ON REQUEST","Rolex Datejust 31mm Steel and Everose Gold Chocolate Dial Jubilee Bracelet","Rolex","","","","","Rolex","278271","Female","Automatic","31","Steel, Rose gold","Bracelet","Mechanical self-winding, Date","Brand new","100 m","Rolex 2236","14548","",""
"1773071530-63","https://watchlab.ae/catalog/watch/","Our price:                                                                        PRICE ON REQUEST","Rolex Datejust 31mm Steel & White gold Pink Roman Dial Diamond bezel Jubilee Bracelet","Rolex","","","","","Rolex","278344rbr","Female","Automatic","31","Steel, White gold, Diamonds","Bracelet","Mechanical self-winding, Date","Brand new","100 m","Caliber Rolex 2236","15860","",""
"1773071530-64","https://watchlab.ae/catalog/watch/","Our price:                                                                        PRICE ON REQUEST","Rolex Lady-Datejust 28mm Steel & Rose Gold Sundust Roman Dial Jubilee Bracelet","Rolex","","","","","Rolex","279171","Female","Automatic","28","Steel, Rose gold","Bracelet","Mechanical self-winding, Date","Brand new","100 m","Rolex 2236","16276","",""
